"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"YESBANK","EQ","05-Dec-2017","        303.20","        302.15","        310.00","        300.60","        309.25","        308.70","        305.46","    7558058","          2308717435.15","      83051","    3505426","         46.38"
"YESBANK","EQ","06-Dec-2017","        308.70","        306.80","        309.90","        304.60","        306.65","        306.45","        307.16","    6114939","          1878269929.75","      78923","    3058747","         50.02"
"YESBANK","EQ","07-Dec-2017","        306.45","        306.55","        311.95","        306.55","        310.55","        310.50","        310.42","    5794382","          1798681952.60","      73536","    2675152","         46.17"
"YESBANK","EQ","08-Dec-2017","        310.50","        312.00","        315.50","        311.00","        312.50","        312.70","        313.53","    8434605","          2644495827.35","     103648","    4485317","         53.18"
"YESBANK","EQ","11-Dec-2017","        312.70","        313.50","        315.80","        310.60","        310.90","        311.60","        312.52","    4416465","          1380248157.30","      70439","    2399909","         54.34"
"YESBANK","EQ","12-Dec-2017","        311.60","        312.00","        312.00","        305.90","        306.35","        306.80","        308.43","    5457103","          1683114506.60","      73447","    3186255","         58.39"
"YESBANK","EQ","13-Dec-2017","        306.80","        306.35","        307.35","        301.05","        302.25","        301.90","        304.10","    6911856","          2101922177.30","      68106","    3329492","         48.17"
"YESBANK","EQ","14-Dec-2017","        301.90","        303.90","        304.65","        301.75","        304.10","        303.90","        303.17","    4904177","          1486816127.55","      73179","    2398803","         48.91"
"YESBANK","EQ","15-Dec-2017","        303.90","        307.00","        317.45","        307.00","        316.05","        315.90","        313.77","   20571225","          6454557450.75","     123798","   12191912","         59.27"
"YESBANK","EQ","18-Dec-2017","        315.90","        315.90","        318.00","        305.30","        311.80","        311.15","        313.24","   13690080","          4288308079.85","     104391","    4196152","         30.65"
"YESBANK","EQ","19-Dec-2017","        311.15","        314.00","        314.40","        309.55","        312.40","        312.25","        312.16","    6290291","          1963563552.00","      78904","    3010186","         47.85"
"YESBANK","EQ","20-Dec-2017","        312.25","        312.40","        313.40","        310.00","        311.20","        311.70","        311.52","    6605913","          2057856663.20","      91086","    3329219","         50.40"
"YESBANK","EQ","21-Dec-2017","        311.70","        311.20","        313.95","        309.40","        310.15","        310.45","        311.04","    7130623","          2217909722.90","     127632","    4339703","         60.86"
"YESBANK","EQ","22-Dec-2017","        310.45","        310.50","        313.50","        308.70","        309.95","        310.15","        311.06","    7895699","          2456026622.90","     135512","    4353022","         55.13"
"YESBANK","EQ","26-Dec-2017","        310.15","        310.50","        317.90","        310.20","        315.30","        315.50","        314.70","    9269961","          2917295775.95","      98604","    4412422","         47.60"
"YESBANK","EQ","27-Dec-2017","        315.50","        316.65","        318.95","        313.35","        313.90","        315.15","        316.55","    8912485","          2821227113.10","      89638","    4904076","         55.02"
"YESBANK","EQ","28-Dec-2017","        315.15","        314.00","        316.00","        311.80","        312.75","        313.50","        313.99","    7927990","          2489324658.45","      74137","    4084409","         51.52"
"YESBANK","EQ","29-Dec-2017","        313.50","        313.50","        315.80","        312.80","        315.10","        315.15","        314.73","    4718184","          1484971436.50","      51047","    2586181","         54.81"
"YESBANK","EQ","01-Jan-2018","        315.15","        315.50","        317.75","        311.30","        312.30","        312.60","        314.50","    4019878","          1264242253.20","      32852","    2181558","         54.27"
"YESBANK","EQ","02-Jan-2018","        312.60","        313.40","        314.00","        307.15","        312.40","        311.65","        311.22","    5224976","          1626138862.45","      46756","    2311557","         44.24"
"YESBANK","EQ","03-Jan-2018","        311.65","        312.00","        316.50","        311.15","        316.00","        315.85","        314.93","    5672263","          1786344789.15","      71484","    3204850","         56.50"
"YESBANK","EQ","04-Jan-2018","        315.85","        316.00","        318.40","        313.00","        317.55","        317.10","        315.25","    5667580","          1786710637.05","      53032","    3393867","         59.88"
"YESBANK","EQ","05-Jan-2018","        317.10","        317.50","        337.90","        317.45","        332.90","        332.85","        331.43","   30720675","         10181639178.35","     249040","   12435555","         40.48"
"YESBANK","EQ","08-Jan-2018","        332.85","        336.00","        341.30","        331.30","        333.15","        333.60","        336.48","   12747890","          4289450275.45","     132566","    4972063","         39.00"
"YESBANK","EQ","09-Jan-2018","        333.60","        334.90","        342.80","        327.55","        341.50","        341.35","        337.37","   13282560","          4481132099.20","     163402","    6059005","         45.62"
"YESBANK","EQ","10-Jan-2018","        341.35","        341.50","        342.35","        335.45","        338.75","        339.80","        339.01","   10385044","          3520586288.60","      97750","    5161519","         49.70"
"YESBANK","EQ","11-Jan-2018","        339.80","        339.00","        344.25","        335.30","        342.35","        343.15","        340.85","    8266266","          2817559600.45","      78837","    3766252","         45.56"
"YESBANK","EQ","12-Jan-2018","        343.15","        344.10","        344.70","        337.55","        340.05","        340.90","        340.71","    5688676","          1938169153.10","      62206","    2061848","         36.24"
"YESBANK","EQ","15-Jan-2018","        340.90","        341.90","        343.70","        335.10","        336.15","        336.00","        338.87","    7142164","          2420281048.50","      62966","    2612713","         36.58"
"YESBANK","EQ","16-Jan-2018","        336.00","        336.00","        338.75","        328.00","        334.65","        334.85","        334.19","    7296505","          2438438049.75","      76996","    2411672","         33.05"
"YESBANK","EQ","17-Jan-2018","        334.85","        335.10","        343.50","        331.40","        342.40","        342.40","        337.63","    7985222","          2696017702.30","     102872","    3310146","         41.45"
"YESBANK","EQ","18-Jan-2018","        342.40","        350.00","        356.90","        332.35","        346.35","        341.20","        348.88","   35465087","         12373151524.65","     237760","   12816508","         36.14"
"YESBANK","EQ","19-Jan-2018","        341.20","        347.50","        352.25","        339.10","        348.75","        349.35","        345.88","   21425789","          7410763849.10","     190091","    6397846","         29.86"
"YESBANK","EQ","22-Jan-2018","        349.35","        349.95","        358.25","        348.75","        357.80","        355.35","        353.47","   13456538","          4756539788.20","     137787","    7156508","         53.18"
